,LastUpdate,Country,Category,Indicator (text in app),Cod.Category,Cod.Indicator,value,comment
0,2021-05-06 09:33:00,BEL,Travel,"From within the EU/EEA, may I enter or exit this country for tourism? ",2,2,WL,"<p class=""border"">The Belgian Government has introduced a traffic light system of high, medium and low-risk regions. Belgium's classification is <strong>updated every Sunday</strong> and is valid from the Monday immediately following. It is based on the data and criteria communicated by the European Centre for Disease Prevention and Control (ECDC) every Thursday. Each country is given a colour code <strong>(red, orange, green)</strong>. The measures applicable to travel to Belgium depend on the colour code assigned to each country.<br /><br />Find out the <a href=""https://www.info-coronavirus.be/en/colour-codes-by-country/"" target=""_blank"" rel=""noopener"">current colour code assigned by Belgium to each country</a></p><p>&nbsp;</p><p><strong>Is a coronavirus test required?</strong></p><p>All travellers from a ""red"" zone, who are not resident in Belgium, are subject to the requirement for a <strong>pre-departure negative PCR test</strong>.</p><p>The test must be taken within <strong>72 hours before departure</strong>.</p><p>Children aged 11 and under are exempted.</p><p>This test is also mandatory for passengers connecting via Belgium to a Schengen destination (including Switzerland, Norway, and Iceland).</p><p>All travellers from a ""red"" zone must also undergo a <strong>second test on day 7</strong> of the mandatory quarantine.</p><p>Residents of Belgium, returning from a ""red"" zone after a stay of more than 48 hours, must undergo a mandatory test on day 1 and day 7 of quarantine.</p><p>There are exceptions in a few strictly limited cases. More information is available at <a href=""https://www.info-coronavirus.be/en/faq/#id_7"" target=""_blank"" rel=""noopener"">https://www.info-coronavirus.be</a></p><p>&nbsp;</p><p><strong>Is a quarantine required?</strong></p><p>All travellers who have been at least 48 hours in a ""red"" zone, and who will stay at least 48 hours in Belgium, must complete a <strong>10-day mandatory quarantine</strong>.</p><p>The quarantine period may be shortened by taking a second PCR test no less than <strong>7 days after arrival</strong>. If the result of this test is negative, the period of quarantine can end.</p><p>&nbsp;</p><p><strong>Mandatory Travel Documentation</strong></p><p>All persons coming or returning to Belgium, or travelling through Belgium, must fill out a <a href=""https://travel.info-coronavirus.be/public-health-passenger-locator-form"" target=""_blank"" rel=""noopener"">Passenger Locator Form</a> in advance. A self-assessment tool is integrated into the Passenger Locator Form.</p><p>There is an exception when the person is travelling by other means than plane or boat and staying less than 48 hours abroad or less than 48 hours in Belgium. This is a very strict exception that can be subject to control.</p><p>Travellers have to fill out a declaration indicating the essential reason for their journey (more information and the form can be found at <a href=""https://www.info-coronavirus.be/en/travels/"" target=""_blank"" rel=""noopener noreferrer"">https://www.info-coronavirus.be/en/travels/</a>).</p><p>&nbsp;</p><p><strong>Contact Point for Belgium</strong></p><p>If you have any questions regarding the Passenger Locator Form, the COVID-19 test, and the obligation of quarantine in Belgium, please check the website <a href=""https://www.info-coronavirus.be/en/"" target=""_blank"" rel=""noopener"">https://www.info-coronavirus.be</a> and, if needed, contact the FPS Public Health on 0800 14 689 or send an e-mail to <a href=""mailto:info.coronavirus@health.fgov.be"">info.coronavirus@health.fgov.be</a></p><p>&nbsp;</p><p><strong>Find out more:<br /></strong><a href=""https://diplomatie.belgium.be/en"" target=""_blank"" rel=""noopener"">diplomatie.belgium.be</a><br /><a href=""https://www.info-coronavirus.be/en/faq/"" target=""_blank"" rel=""noopener"">www.info-coronavirus.be</a></p>"
1,2020-10-29 09:32:00,BEL,Travel,May I enter this country without a medical certificate or a negative test?,2,11,,"<p>Residents of countries from outside the EU, the Schengen area, the United Kingdom and the white list of the EU (which is adapted) <strong>may not enter the Belgian territory, except in specific cases</strong>.</p><p>All persons returning to Belgium or travelling through Belgium, must fill out a <a href=""https://dofi.ibz.be/sites/dvzoe/FR/Documents/BELGIUM_PassengerLocatorForm.pdf"" target=""_blank"" rel=""noopener"">Passenger Locator Form</a>. There is an exception for people staying less than 48 hours abroad or in Belgium and not arriving by plane or boat.</p><p>A <strong>mandatory PCR test</strong> and <strong>quarantine of 7 days</strong> are required upon arrival or return of Belgian nationals or residents in Belgium from a high risk area (""red zone"") as defined by the Belgian authorities at <a href=""https://diplomatie.belgium.be/en"" target=""_blank"" rel=""noopener"">diplomatie.belgium.be</a>.</p><p>The self-assessment test in the <a href=""https://dofi.ibz.be/sites/dvzoe/FR/Documents/BELGIUM_PassengerLocatorForm.pdf"" target=""_blank"" rel=""noopener"">Passenger Locator Form</a> may make it possible to avoid the quarantine or testing requirement.</p>"
2,2020-10-29 09:32:00,BEL,Health & Safety,Are there any risk areas under lockdown in this country?,4,1,,"<p>Local authorities have the flexibility and authority to adapt travel restrictions and non-essential activities in accordance with the epidemiological situation in their area.
From 19.10.2020, there is a curfew from midnight to 05.00. From 26.10.2020, there is a curfew from 22.00 to 06.00 in both Brussels and Wallonia. </p><p>People going to work, or coming home from work, and those who need to pick up someone with a problem, will  be exempted.</p>
"
3,2020-10-29 09:32:00,BEL,Travel,May I enter this country without being subject to a mandatory quarantine?,2,10,,"<p>Residents of countries from outside the EU, the Schengen area, the United Kingdom and the white list of the EU (which is adapted) <strong>may not enter the Belgian territory, except in specific cases</strong>.</p><p>All persons returning to Belgium or travelling through Belgium, must fill out a <a href=""https://dofi.ibz.be/sites/dvzoe/FR/Documents/BELGIUM_PassengerLocatorForm.pdf"" target=""_blank"" rel=""noopener"">Passenger Locator Form</a>. There is an exception for people staying less than 48 hours abroad or in Belgium and not arriving by plane or boat.</p><p>A <strong>mandatory PCR test</strong> and <strong>quarantine of 7 days</strong> are required upon arrival or return of Belgian nationals or residents in Belgium from a high risk area as defined by the Belgian authorities at <a href=""https://diplomatie.belgium.be/en"" target=""_blank"" rel=""noopener"">diplomatie.belgium.be</a>.</p><p>The self-assessment test in the <a href=""https://dofi.ibz.be/sites/dvzoe/FR/Documents/BELGIUM_PassengerLocatorForm.pdf"" target=""_blank"" rel=""noopener"">Passenger Locator Form</a> may make it possible to avoid the quarantine or testing requirement.</p>"
4,2021-05-06 09:33:00,AUT,Travel,"From within the EU/EEA, may I enter or exit this country for tourism? ",2,2,WL,"<p>When entering Austria from abroad, an online <a href=""https://entry.ptc.gv.at/en.html"" target=""_blank"">Pre-Travel-Clearance</a> is mandatory (exemptions apply). In addition, a medical certificate or a valid negative test result in German or English language for SARS-CoV-2 must be available and presented to border authorities upon request. After entry, a quarantine of 10 days is required. At the earliest on the 5th day of quarantine &ndash; the day of arrival marks day 0 &ndash; a molecular biological or antigen test for SARS-CoV-2 can be conducted. If the result is negative, the quarantine can be terminated earlier.</p><p><strong>Prospective changes of COVID-19 entry regulations as of 19 May 2021:</strong></p><p><strong>As of 19 May</strong>, it is planned that:</p><ul><li>persons entering from green/orange areas (according to the <a href=""https://www.ecdc.europa.eu/en/covid-19/situation-updates/weekly-maps-coordinated-restriction-free-movement"">map by the European Centre for Disease Prevention and Control</a>) will be allowed to enter Austria without any restrictions;</li><li>persons arriving from red areas will have to be either tested, vaccinated or have recovered from COVID-19;</li><li>persons entering from dark red areas will have to be either tested, vaccinated or have recovered from COVID-19 AND go into quarantine for at least 5 days.</li></ul><p>&nbsp;</p><p><strong>Is a coronavirus test required?</strong></p><p>All travellers from risk areas are subject to the requirement for a <strong>pre-departure negative COVID-19 test</strong> (exemptions apply).</p><p>Accepted tests: PCR (within 72 hours prior to arrival), Rapid antigen (within 48 hours prior to arrival).</p><p>No test is required when entering from (and not having stayed in the past 10 days in any other country than) Australia, Iceland, New Zealand, Singapore, South Korea and the Vatican.</p><p>&nbsp;</p><p><strong>Is a quarantine required?</strong></p><p>No quarantine is required when entering from (and not having stayed in the past 10 days in any other country than) Australia, Iceland, New Zealand, Singapore, South Korea and the Vatican.</p><p>From any other country, <strong>a quarantine of 10 days is required</strong> (exemptions apply).</p><p>At the earliest on the 5th day of quarantine &ndash; the day of arrival marks day 0 &ndash; a molecular biological or antigen test for SARS-CoV-2 can be conducted. If the result is negative, the quarantine can be terminated early.</p><p>&nbsp;</p><p><strong>Mandatory Travel Documentation</strong></p><p>All travellers are required to complete a <a href=""https://www.oesterreich.gv.at/en/themen/coronavirus_in_oesterreich/pre-travel-clearance.html"" target=""_blank"">pre-travel clearance form</a> (exemptions apply). In particular, this concerns the address of the place of stay or quarantine, the means of transport used to enter Austria, as well as the notification of the countries in which the person has stayed in the 10 days prior to arrival. The pre-travel clearance form is available in German and English.</p><p>&nbsp;</p><p><strong>Find out more:<br /></strong><a href=""https://www.oesterreich.gv.at/en/themen/coronavirus_in_oesterreich/pre-travel-clearance.html"" target=""_blank"">www.oesterreich.gv.at</a><br /><a href=""https://entry.ptc.gv.at/en.html"" target=""_blank"">Pre-Travel-Clearance</a><br /><a href=""https://www.austria.info/en/service-and-facts/coronavirus-information"" target=""_blank"">www.austria.info</a></p>"
5,2020-10-29 09:32:00,AUT,Travel,May I enter this country without a medical certificate or a negative test?,2,11,,"Travellers from the following countries can enter or leave Austria without restrictions:  Australia, Belgium, Canada, Denmark, Germany, Estonia, Finland, France, Greece, Ireland, Iceland, Italy, Japan, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Monaco, Netherlands, New Zealand, Norway, Poland, Republic of Korea, San Marino, Switzerland, Slovakia, Slovenia, Spain (only Canary Islands), Czech Republic, Hungary, Uruguay, Vatican and Cyprus. The regulation applies only to people who are residents in the listed countries or Austrian citizens. It is also a prerequisite that you have not been in any country other than Austria or those European countries in the past 10 days. You can find the latest provisions here:  <a href=""https://www.sozialministerium.at"">www.sozialministerium.at</a>"
6,2021-05-06 09:33:00,AUT,Health & Safety,Are there any risk areas under lockdown in this country?,4,1,,"<p>In Tirol and some other districts in Austria, a negative COVID-19 test result is required to leave the area. (see this <a href=""https://www.oeamtc.at/news/corona-ausreisetestpflicht-aus-regionen-und-gemeinden-in-oesterreich-43159282"" target=""_blank"">map by the Austrian Automobile, Motorcycling and Touring Association</a>)</p>"
7,2020-12-16 09:01:00,AUT,Travel,May I enter this country without being subject to a mandatory quarantine?,2,10,WL,"<p>Austrian citizens, Austrian residents and residents from EU Members States and Schengen associated countries arriving from a high-risk area are obliged to provide a <a href=""https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2020_II_263/COO_2026_100_2_1752893.pdfsig"" target=""_blank"" rel=""noopener noreferrer"">medical certificate</a> with a negative result to a COVID-19 PCR test, performed no longer than 72 hours before arrival.</p><p>An updated list of high risk areas is available at the <strong><a href=""https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Haeufig-gestellte-Fragen/FAQ--Reisen-und-Tourismus.html"" target=""_blank"" rel=""noopener"">Austrian Health Ministry website</a></strong> (in German)</p><p>If you were unable to get tested before entering Austria, you are required to get tested within 48 hours after arriving, and you have to self-quarantine until your test results are available.</p><p>Third-country nationals travelling from within the Schengen area have to provide a medical certificate proving a negative COVID-19 test result AND are obliged to undergo a 10-day self-quarantine.</p><p><strong>From 19.12.2020 to 10.01.2021</strong>, the definition of a ""risk area"" changes to include every country with a 14-day incidence rate (COVID-19 cases per 100 000 people) over 100. Anybody entering from such risk areas must quarantine for 10 days upon arrival. After 5 days of quarantine at the earliest, you may take a PCR COVID test to shorten your quarantine. <a href=""https://www.austria.info/en/service-and-facts/coronavirus-information/entry-regulations"" target=""_blank"" rel=""noopener"">New entry regulations.</a></p>"
8,2021-05-06 09:33:00,AUT,Info,National website with coronavirus related information for TOURISM,1,5,,"<a href=""https://www.austria.info/"">Tourism Austria</a>"
9,2021-05-06 09:33:00,BGR,Travel,"From within the EU/EEA, may I enter or exit this country for tourism? ",2,2,WL,"<p class=""border"">Bulgaria adopts its own national classification of risk areas, hence travel restrictions for Bulgaria are not based on the common ""EU Traffic Lights"" map.</p><p class=""border""><img src=""/static/vaccination-benefits.png"" alt=""vaccination-benefits"" />All travellers, regardless of their citizenship and the country of origin, are allowed entry upon presentation of one of the following documents:</p><ul><li>a certificate of vaccination, with the last dose of vaccine administered at least 14 days before entry</li><li>a document showing a positive test result (PCR or antigen test) for people who recovered from Covid-19 in the period between 15 and 180 days before entry.</li></ul><p>&nbsp;</p><p><strong>Is a coronavirus test required?</strong></p><p>Bulgarian citizens, citizens of EU member states, Schengen countries and their family members are subject to the requirement for a <strong>pre-departure negative COVID-19 (PCR or antigen) test</strong>.</p><p>The test must be taken within <strong>72 hours (PCR) or 48 hours (antigen test) before departure</strong>.</p><p>&nbsp;</p><p><strong>Is a quarantine required?</strong></p><p>Bulgarian citizens, permanent or long-term residents in Bulgaria and their family members, who do not present the negative result of a COVID-19 test, must complete a <strong>10-day mandatory quarantine</strong>.</p><p>The quarantine period may be ended upon the presentation of a document showing the negative result of a COVID-19 test performed within 24 hours from the entry.</p><p>&nbsp;</p><p><strong>Mandatory Travel Documentation</strong></p><p><a href=""https://www.tourism.government.bg/sites/tourism.government.bg/files/documents/2020-05/deklaraciya_za_putuvane_na_sobstven_risk_en-2.pdf"" target=""_blank"" rel=""noopener"">Self-risk travel declaration</a> available in 8 languages (BG / EN / DE / RU / FR / RO / GR / RS)</p><p>&nbsp;</p><p><strong>Find out more:<br /></strong><a href=""https://coronavirus.bg/bg/965"" target=""_blank"" rel=""noopener"">Order № RD-01-278 of 29.04.2021 on the rules and conditions for entry into the territory of Bulgaria, in force from 1 May</a> (in Bulgarian)</p><p><a href=""https://bulgariatravel.org/en/useful/practical-information-for-tourists-covid-19/"" target=""_blank"" rel=""noopener"">Practical information for tourists</a></p><p>&nbsp;</p><p><strong>Contact Point for Bulgaria:<br /></strong><a href=""https://coronavirus.bg/bg/contacts"" target=""_blank"" rel=""noopener"">Important telephone numbers and contacts</a> (in Bulgarian)</p>"
